ZONE I=40, J=105
0 0 0 -0
0.025641 0 6.57505e-05 -0.000131497
0.0512821 0 0.000263054 -0.000526039
0.0769231 0 0.000592066 -0.00118378
0.102564 0 0.00105305 -0.00210499
0.128205 0 0.00164636 -0.00329001
0.153846 0 0.00237247 -0.00473933
0.179487 0 0.00323194 -0.00645351
0.205128 0 0.00422546 -0.00843322
0.230769 0 0.0053538 -0.0106792
0.25641 0 0.00661785 -0.0131925
0.282051 0 0.00801858 -0.0159739
0.307692 0 0.00955709 -0.0190245
0.333333 0 0.0112346 -0.0223457
0.358974 0 0.0130523 -0.0259386
0.384615 0 0.0150117 -0.0298046
0.410256 0 0.0171143 -0.0339453
0.435897 0 0.0193617 -0.0383623
0.461538 0 0.0217555 -0.0430573
0.487179 0 0.0242977 -0.0480321
0.512821 0 0.0269901 -0.0532886
0.538462 0 0.0298347 -0.0588288
0.564103 0 0.0328338 -0.0646549
0.589744 0 0.0359894 -0.0707691
0.615385 0 0.0393039 -0.0771738
0.641026 0 0.0427799 -0.0838713
0.666667 0 0.0464198 -0.0908642
0.692308 0 0.0502262 -0.0981552
0.717949 0 0.0542019 -0.105747
0.74359 0 0.0583498 -0.113642
0.769231 0 0.0626729 -0.121844
0.794872 0 0.0671741 -0.130356
0.820513 0 0.0718567 -0.139181
0.846154 0 0.0767239 -0.148321
0.871795 0 0.081779 -0.157782
0.897436 0 0.0870257 -0.167565
0.923077 0 0.0924674 -0.177674
0.948718 0 0.0981078 -0.188114
0.974359 0 0.103951 -0.198888
1 0 0.11 -0.21
0 0 0 -0
0.0255942 0.00154817 6.57503e-05 -0.000131497
0.0511885 0.00309633 0.000263051 -0.000526036
0.0767827 0.0046445 0.00059205 -0.00118377
0.102377 0.00619267 0.001053 -0.00210494
0.127971 0.00774083 0.00164623 -0.00328989
0.153565 0.009289 0.00237221 -0.00473908
0.17916 0.0108372 0.00323147 -0.00645304
0.204754 0.0123853 0.00422466 -0.00843242
0.230348 0.0139335 0.00535252 -0.010678
0.255942 0.0154817 0.00661589 -0.0131905
0.281537 0.0170298 0.00801571 -0.015971
0.307131 0.018578 0.00955303 -0.0190205
0.332725 0.0201262 0.011229 -0.0223401
0.358319 0.0216743 0.0130448 -0.0259311
0.383914 0.0232225 0.0150018 -0.0297947
0.409508 0.0247707 0.0171015 -0.0339325
0.435102 0.0263188 0.0193453 -0.038346
0.460696 0.027867 0.021735 -0.0430368
0.486291 0.0294152 0.0242722 -0.0480066
0.511885 0.0309633 0.0269588 -0.0532573
0.537479 0.0325115 0.0297967 -0.0587908
0.563073 0.0340597 0.0327879 -0.0646091
0.588668 0.0356078 0.0359346 -0.0707144
0.614262 0.037156 0.039239 -0.0771088
0.639856 0.0387042 0.0427034 -0.0837948
0.66545 0.0402523 0.0463303 -0.0907748
0.691045 0.0418005 0.0501222 -0.0980512
0.716639 0.0433487 0.0540816 -0.105627
0.742233 0.0448968 0.0582114 -0.113504
0.767827 0.046445 0.0625143 -0.121686
0.793422 0.0479932 0.0669933 -0.130175
0.819016 0.0495413 0.0716514 -0.138976
0.84461 0.0510895 0.0764917 -0.148089
0.870204 0.0526377 0.0815175 -0.15752
0.895799 0.0541858 0.086732 -0.167271
0.921393 0.055734 0.0921386 -0.177346
0.946987 0.0572822 0.0977409 -0.187748
0.972581 0.0588303 0.103543 -0.19848
0.998176 0.0603785 0.109547 -0.209547
0 0 0 -0
0.0254541 0.00309068 6.57498e-05 -0.000131496
0.0509081 0.00618137 0.000263042 -0.000526027
0.0763622 0.00927205 0.000592004 -0.00118372
0.101816 0.0123627 0.00105285 -0.00210479
0.12727 0.0154534 0.00164588 -0.00328953
0.152724 0.0185441 0.00237147 -0.00473834
0.178179 0.0216348 0.00323011 -0.00645167
0.203633 0.0247255 0.00422233 -0.00843009
0.229087 0.0278162 0.00534878 -0.0106742
0.254541 0.0309068 0.0066102 -0.0131848
0.279995 0.0339975 0.00800738 -0.0159627
0.305449 0.0370882 0.00954122 -0.0190087
0.330903 0.0401789 0.0112127 -0.0223238
0.356357 0.0432696 0.0130229 -0.0259092
0.381811 0.0463603 0.014973 -0.0297659
0.407265 0.0494509 0.0170642 -0.0338952
0.432719 0.0525416 0.0192978 -0.0382984
0.458173 0.0556323 0.0216752 -0.042977
0.483627 0.058723 0.024198 -0.0479324
0.509081 0.0618137 0.0268677 -0.0531662
0.534536 0.0649044 0.0296859 -0.05868
0.55999 0.0679951 0.0326545 -0.0644757
0.585444 0.0710857 0.0357753 -0.070555
0.610898 0.0741764 0.0390501 -0.0769199
0.636352 0.0772671 0.042481 -0.0835724
0.661806 0.0803578 0.0460701 -0.0905145
0.68726 0.0834485 0.0498195 -0.0977485
0.712714 0.0865392 0.0537316 -0.105277
0.738168 0.0896298 0.0578087 -0.113101
0.763622 0.0927205 0.0620531 -0.121225
0.789076 0.0958112 0.0664675 -0.12965
0.81453 0.0989019 0.0710543 -0.138378
0.839984 0.101993 0.0758164 -0.147414
0.865439 0.105083 0.0807565 -0.156759
0.890893 0.108174 0.0858774 -0.166417
0.916347 0.111265 0.0911822 -0.176389
0.941801 0.114355 0.0966737 -0.18668
0.967255 0.117446 0.102355 -0.197293
0.992709 0.120537 0.10823 -0.20823
0 0 0 -0
0.025221 0.00462192 6.57489e-05 -0.000131495
0.050442 0.00924385 0.000263028 -0.000526012
0.0756631 0.0138658 0.000591932 -0.00118365
0.100884 0.0184877 0.00105262 -0.00210456
0.126105 0.0231096 0.00164532 -0.00328898
0.151326 0.0277315 0.00237032 -0.00473718
0.176547 0.0323535 0.00322797 -0.00644953
0.201768 0.0369754 0.00421868 -0.00842644
0.226989 0.0415973 0.00534293 -0.0106684
0.25221 0.0462192 0.00660128 -0.0131759
0.277431 0.0508412 0.00799432 -0.0159496
0.302652 0.0554631 0.00952273 -0.0189902
0.327873 0.060085 0.0111872 -0.0222984
0.353094 0.0647069 0.0129887 -0.0258749
0.378315 0.0693289 0.0149279 -0.0297208
0.403536 0.0739508 0.0170057 -0.0338368
0.428757 0.0785727 0.0192233 -0.038224
0.453978 0.0831946 0.0215816 -0.0428834
0.479199 0.0878166 0.0240818 -0.0478162
0.50442 0.0924385 0.026725 -0.0530235
0.529641 0.0970604 0.0295125 -0.0585066
0.554863 0.101682 0.0324457 -0.0642668
0.580084 0.106304 0.0355258 -0.0703055
0.605305 0.110926 0.0387543 -0.0766241
0.630526 0.115548 0.0421327 -0.0832241
0.655747 0.12017 0.0456627 -0.0901071
0.680968 0.124792 0.0493457 -0.0972747
0.706189 0.129414 0.0531836 -0.104729
0.73141 0.134036 0.057178 -0.112471
0.756631 0.138658 0.0613309 -0.120502
0.781852 0.14328 0.065644 -0.128826
0.807073 0.147902 0.0701194 -0.137444
0.832294 0.152523 0.0747591 -0.146357
0.857515 0.157145 0.079565 -0.155568
0.882736 0.161767 0.0845395 -0.165079
0.907957 0.166389 0.0896846 -0.174892
0.933178 0.171011 0.0950027 -0.185009
0.958399 0.175633 0.100496 -0.195434
0.98362 0.180255 0.106167 -0.206167
0 0 0 -0
0.0248959 0.0061363 6.57478e-05 -0.000131494
0.0497919 0.0122726 0.000263009 -0.000525994
0.0746878 0.0184089 0.00059184 -0.00118356
0.0995838 0.0245452 0.00105233 -0.00210427
0.12448 0.0306815 0.00164461 -0.00328827
0.149376 0.0368178 0.00236885 -0.00473571
0.174272 0.0429541 0.00322525 -0.00644681
0.199168 0.0490904 0.00421404 -0.00842179
0.224063 0.0552267 0.0053355 -0.0106609
0.248959 0.061363 0.00658995 -0.0131646
0.273855 0.0674993 0.00797773 -0.015933
0.298751 0.0736356 0.00949924 -0.0189667
0.323647 0.0797719 0.0111549 -0.022266
0.348543 0.0859082 0.0129451 -0.0258314
0.373439 0.0920445 0.0148705 -0.0296634
0.398335 0.0981808 0.0169315 -0.0337625
0.423231 0.104317 0.0191287 -0.0381293
0.448127 0.110453 0.0214627 -0.0427645
0.473023 0.11659 0.0239341 -0.0476685
0.497919 0.122726 0.0265437 -0.0528422
0.522815 0.128862 0.0292922 -0.0582863
0.547711 0.134999 0.0321802 -0.0640014
0.572607 0.141135 0.0352087 -0.0699884
0.597503 0.147271 0.0383784 -0.0762482
0.622399 0.153407 0.0416901 -0.0827815
0.647295 0.159544 0.0451449 -0.0895893
0.67219 0.16568 0.0487436 -0.0966726
0.697086 0.171816 0.0524872 -0.104032
0.721982 0.177953 0.0563767 -0.111669
0.746878 0.184089 0.0604132 -0.119585
0.771774 0.190225 0.0645977 -0.12778
0.79667 0.196362 0.0689314 -0.136256
0.821566 0.202498 0.0734154 -0.145013
0.846462 0.208634 0.078051 -0.154054
0.871358 0.21477 0.0828393 -0.163378
0.896254 0.220907 0.0877816 -0.172989
0.92115 0.227043 0.0928793 -0.182886
0.946046 0.233179 0.0981336 -0.193071
0.970942 0.239316 0.103546 -0.203546
0 0 0 -0
0.02448 0.00762828 6.57465e-05 -0.000131493
0.04896 0.0152566 0.000262989 -0.000525974
0.0734401 0.0228849 0.000591737 -0.00118345
0.0979201 0.0305131 0.00105201 -0.00210395
0.1224 0.0381414 0.00164382 -0.00328747
0.14688 0.0457697 0.0023672 -0.00473407
0.17136 0.053398 0.00322219 -0.00644376
0.19584 0.0610263 0.00420883 -0.00841659
0.22032 0.0686546 0.00532716 -0.0106526
0.2448 0.0762828 0.00657723 -0.0131519
0.26928 0.0839111 0.00795911 -0.0159144
0.29376 0.0915394 0.00947287 -0.0189403
0.31824 0.0991677 0.0111186 -0.0222297
0.34272 0.106796 0.0128963 -0.0257825
0.3672 0.114424 0.0148061 -0.029599
0.39168 0.122053 0.0168481 -0.0336792
0.41616 0.129681 0.0190225 -0.0380231
0.44064 0.137309 0.0213292 -0.0426309
0.46512 0.144937 0.0237684 -0.0475028
0.4896 0.152566 0.0263402 -0.0526387
0.51408 0.160194 0.0290448 -0.0580389
0.53856 0.167822 0.0318823 -0.0637035
0.563041 0.175451 0.0348528 -0.0696325
0.587521 0.183079 0.0379564 -0.0758262
0.612001 0.190707 0.0411933 -0.0822847
0.636481 0.198335 0.0445637 -0.0890082
0.660961 0.205964 0.0480677 -0.0959967
0.685441 0.213592 0.0517055 -0.10325
0.709921 0.22122 0.0554772 -0.11077
0.734401 0.228849 0.059383 -0.118555
0.758881 0.236477 0.0634231 -0.126605
0.783361 0.244105 0.0675978 -0.134922
0.807841 0.251733 0.0719071 -0.143505
0.832321 0.259362 0.0763514 -0.152354
0.856801 0.26699 0.0809308 -0.16147
0.881281 0.274618 0.0856455 -0.170853
0.905761 0.282246 0.0904957 -0.180502
0.930241 0.289875 0.0954817 -0.190419
0.954721 0.297503 0.100604 -0.200604
0 0 0 0
0.0239748 0.00909243 6.57452e-05 -0.000131491
0.0479496 0.0181849 0.000262968 -0.000525953
0.0719243 0.0272773 0.000591632 -0.00118335
0.0958991 0.0363697 0.00105167 -0.00210361
0.119874 0.0454622 0.00164301 -0.00328666
0.143849 0.0545546 0.00236552 -0.00473239
0.167823 0.063647 0.00321908 -0.00644065
0.191798 0.0727395 0.00420352 -0.00841128
0.215773 0.0818319 0.00531866 -0.0106441
0.239748 0.0909243 0.00656428 -0.0131389
0.263723 0.100017 0.00794015 -0.0158954
0.287697 0.109109 0.00944601 -0.0189135
0.311672 0.118202 0.0110816 -0.0221927
0.335647 0.127294 0.0128465 -0.0257328
0.359622 0.136386 0.0147405 -0.0295334
0.383596 0.145479 0.0167632 -0.0335943
0.407571 0.154571 0.0189143 -0.0379149
0.431546 0.163664 0.0211932 -0.042495
0.455521 0.172756 0.0235996 -0.047334
0.479496 0.181849 0.026133 -0.0524315
0.50347 0.190941 0.0287929 -0.057787
0.527445 0.200034 0.0315788 -0.0634
0.55142 0.209126 0.0344903 -0.06927
0.575395 0.218218 0.0375266 -0.0753964
0.599369 0.227311 0.0406873 -0.0817787
0.623344 0.236403 0.0439717 -0.0884162
0.647319 0.245496 0.0473792 -0.0953082
0.671294 0.254588 0.0509092 -0.102454
0.695268 0.263681 0.0545609 -0.109853
0.719243 0.272773 0.0583337 -0.117505
0.743218 0.281865 0.0622268 -0.125409
0.767193 0.290958 0.0662394 -0.133564
0.791168 0.30005 0.0703708 -0.141968
0.815142 0.309143 0.0746202 -0.150623
0.839117 0.318235 0.0789868 -0.159526
0.863092 0.327328 0.0834696 -0.168677
0.887067 0.33642 0.0880678 -0.178074
0.911041 0.345512 0.0927806 -0.187718
0.935016 0.354605 0.0976068 -0.197607
0 0 0 0
0.023382 0.0105234 6.5744e-05 -0.00013149
0.0467641 0.0210468 0.000262949 -0.000525934
0.0701461 0.0315702 0.000591535 -0.00118325
0.0935282 0.0420936 0.00105137 -0.00210331
0.11691 0.052617 0.00164226 -0.00328591
0.140292 0.0631404 0.00236397 -0.00473083
0.163674 0.0736638 0.0032162 -0.00643776
0.187056 0.0841872 0.0041986 -0.00840636
0.210438 0.0947106 0.00531077 -0.0106362
0.23382 0.105234 0.00655226 -0.0131269
0.257203 0.115757 0.00792255 -0.0158778
0.280585 0.126281 0.00942109 -0.0188885
0.303967 0.136804 0.0110472 -0.0221584
0.327349 0.147328 0.0128004 -0.0256866
0.350731 0.157851 0.0146797 -0.0294726
0.374113 0.168374 0.0166845 -0.0335155
0.397495 0.178898 0.0188139 -0.0378145
0.420877 0.189421 0.021067 -0.0423688
0.444259 0.199945 0.023443 -0.0471773
0.467641 0.210468 0.0259407 -0.0522392
0.491023 0.220992 0.0285592 -0.0575533
0.514405 0.231515 0.0312973 -0.0631185
0.537787 0.242038 0.034154 -0.0689337
0.561169 0.252562 0.0371279 -0.0749977
0.584551 0.263085 0.0402179 -0.0813092
0.607933 0.273609 0.0434225 -0.087867
0.631315 0.284132 0.0467406 -0.0946696
0.654697 0.294655 0.0501705 -0.101716
0.678079 0.305179 0.0537109 -0.109004
0.701461 0.315702 0.0573603 -0.116532
0.724843 0.326226 0.0611169 -0.124299
0.748226 0.336749 0.0649793 -0.132303
0.771608 0.347272 0.0689456 -0.140543
0.79499 0.357796 0.0730143 -0.149017
0.818372 0.368319 0.0771834 -0.157723
0.841754 0.378843 0.0814511 -0.166658
0.865136 0.389366 0.0858155 -0.175822
0.888518 0.399889 0.0902747 -0.185212
0.9119 0.410413 0.0948266 -0.194827
0 0 0 0
0.022704 0.011916 6.5743e-05 -0.000131489
0.045408 0.023832 0.000262933 -0.000525918
0.068112 0.0357479 0.000591454 -0.00118317
0.090816 0.0476639 0.00105111 -0.00210305
0.11352 0.0595799 0.00164163 -0.00328529
0.136224 0.0714959 0.00236267 -0.00472953
0.158928 0.0834119 0.0032138 -0.00643536
0.181632 0.0953278 0.00419451 -0.00840226
0.204336 0.107244 0.00530422 -0.0106297
0.22704 0.11916 0.00654227 -0.0131169
0.249744 0.131076 0.00790792 -0.0158632
0.272448 0.142992 0.00940036 -0.0188678
0.295152 0.154908 0.0110187 -0.0221298
0.317856 0.166824 0.012762 -0.0256482
0.34056 0.17874 0.0146291 -0.029422
0.363264 0.190656 0.016619 -0.03345
0.385968 0.202572 0.0187304 -0.0377311
0.408672 0.214488 0.0209621 -0.0422639
0.431376 0.226404 0.0233127 -0.0470471
0.45408 0.23832 0.0257808 -0.0520793
0.476784 0.250236 0.0283648 -0.0573589
0.499488 0.262152 0.0310632 -0.0628844
0.522192 0.274068 0.0338743 -0.0686541
0.544896 0.285983 0.0367964 -0.0746662
0.5676 0.297899 0.0398275 -0.0809189
